,Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action,Security,SEC filings,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
97,NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$81,619,616,327 ",1.27%,0,0,0,Analyze,Northrop Grumman,reports,Aerospace & Defense,"West Falls Church, Virginia",6/30/85,1133421,"1994 (Northrop 1939, Grumman 1930)"
98,REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$81,516,463,538 ",0.00%,0,0,0,Analyze,Regeneron,reports,Biotechnology,"Tarrytown, New York",5/1/13,872589,1988
99,BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$79,917,388,203 ",0.00%,0,0,0,Analyze,Booking Holdings,reports,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,1075531,1996
100,DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$77,244,996,659 ",3.91%,0,0,0,Analyze,Duke Energy,reports,Electric Utilities,"Charlotte, North Carolina",6/30/76,1326160,1904
101,PGR,Progressive Corp,Common stocks,Large cap,Financials,"$76,796,250,397 ",1.44%,0,0,0,Analyze,Progressive Corporation,reports,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/97,80661,1937
102,TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$75,957,141,829 ",2.37%,0,0,0,Analyze,Target Corporation,reports,General Merchandise Stores,"Minneapolis, Minnesota",12/31/76,27419,1902
103,SO,Southern Co,Common stocks,Large cap,Utilities,"$73,724,923,912 ",3.93%,0,0,0,Analyze,Southern Company,reports,Electric Utilities,"Atlanta, Georgia",3/4/57,92122,1945
104,SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$73,395,357,794 ",0.92%,0,0,0,Analyze,Schlumberger,reports,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",3/31/65,87347,1926
105,ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$73,005,517,297 ",0.83%,0,0,0,Analyze,Zoetis,reports,Pharmaceuticals,"Parsippany, New Jersey",6/21/13,1555280,1952
106,BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$71,079,150,158 ",1.36%,0,0,0,Analyze,Becton Dickinson,reports,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897
107,ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$69,863,398,176 ",2.16%,0,0,0,Analyze,Illinois Tool Works,reports,Industrial Machinery,"Glenview, Illinois",2/28/86,49826,1912
108,MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$69,721,071,514 ",0.00%,0,0,0,Analyze,Moderna,reports,Biotechnology,"Cambridge, Massachusetts",7/21/21,1682852,2010
109,MMM,3M,Common stocks,Large cap,Industrials,"$69,640,079,861 ",4.65%,0,0,0,Analyze,3M,reports,Industrial Conglomerates,"Saint Paul, Minnesota",8/9/76,66740,1902
110,HUM,Humana Inc,Common stocks,Large cap,Health Care,"$69,423,816,382 ",0.56%,0,0,0,Analyze,Humana,reports,Managed Health Care,"Louisville, Kentucky",,49071,1961
111,GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$69,260,466,391 ",1.95%,0,0,0,Analyze,General Dynamics,reports,Aerospace & Defense,"Falls Church, Virginia",3/4/57,40533,1899
112,APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$69,231,057,591 ",2.02%,0,0,0,Analyze,Air Products and Chemicals,reports,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969,1940
113,WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$68,886,266,251 ",1.54%,0,0,0,Analyze,Waste Management,reports,Environmental & Facilities Services,"Houston, Texas",,823768,1968
114,CSX,CSX Corp,Common stocks,Large cap,Industrials,"$68,706,717,264 ",1.22%,0,0,0,Analyze,CSX,reports,Railroads,"Jacksonville, Florida",9/30/67,277948,1980
115,HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$67,419,451,449 ",0.90%,0,0,0,Analyze,HCA Healthcare,reports,Health Care Facilities,"Nashville, Tennessee",1/27/15,860730,1968
116,USB,US Bancorp,Common stocks,Large cap,Financials,"$67,382,095,090 ",4.04%,0,0,0,Analyze,U.S. Bank,reports,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
118,PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$66,466,976,638 ",3.44%,0,0,0,Analyze,PNC Financial Services,reports,Regional Banks,"Pittsburgh, Pennsylvania",4/30/88,713676,1845
119,BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$66,058,196,326 ",0.00%,0,0,0,Analyze,Boston Scientific,reports,Health Care Equipment,"Marlborough, Massachusetts",2/24/95,885725,1979
120,SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$65,203,074,900 ",0.95%,0,0,0,Analyze,Sherwin-Williams,reports,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800,1866
121,ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$64,968,272,000 ",1.97%,0,0,0,Analyze,Eaton Corporation,reports,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
122,CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$64,937,904,828 ",2.37%,0,0,0,Analyze,Colgate-Palmolive,reports,Household Products,"New York City, New York",3/4/57,21665,1806
123,EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$64,605,484,987 ",1.76%,0,0,0,Analyze,Equinix,reports,Specialized REITs,"Redwood City, California",3/20/15,1101239,1998
124,CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$63,995,073,764 ",2.18%,0,0,0,Analyze,CME Group,reports,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,1156375,1848
125,LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$63,162,725,675 ",1.34%,0,0,0,Analyze,Lam Research,reports,Semiconductor Equipment,"Fremont, California",6/29/12,707549,1980
126,AON,Aon Plc,Common stocks,Large cap,Financials,"$62,690,919,314 ",0.72%,0,0,0,Analyze,Aon,reports,Insurance Brokers,"London, UK",4/23/96,315293,1982 (1919)
127,OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$62,533,293,451 ",0.58%,0,0,0,Analyze,Occidental Petroleum,reports,Oil & Gas Exploration & Production,"Houston, Texas",12/31/82,797468,1920
128,CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$61,367,232,222 ",4.10%,0,0,0,Analyze,Crown Castle,reports,Specialized REITs,"Houston, Texas",3/14/12,1051470,1994
129,TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$61,323,137,831 ",4.26%,0,0,0,Analyze,Truist,reports,Regional Banks,"Charlotte, North Carolina",12/4/97,92230,1872
130,ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$61,178,159,486 ",1.33%,0,0,0,Analyze,Intercontinental Exchange,reports,Financial Exchanges & Data,"Atlanta, Georgia",9/26/07,1571949,2000
131,CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$60,581,424,874 ",0.00%,0,0,0,Analyze,Charter Communications,reports,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,1993
